S/N,SLANG,LANGUAGE,MEANING
1,Kolabo,Yoruba,To have sex,
2,Kerewa,Yoruba,To have sex,
3,Jo soapy,Yoruba/Pidgin,To masturbate,
4,Shag,British English,To have sex,
5,Kpekus,Pidgin,A girl's vagina,
6,Pansh,Pidgin,To have sex,
7,Knack,Pidgin,To have sex,
8,Birth Limiting,English,To reduce birth,
9,Birth Spacing,English,To space children,
10,Contraceptive,English,Methods to prevent pregnancy,
11,Sex,English,Sexual intercourse,
12,Abortion,English,To remove pregnancy,
13,Pills,English,Drug taken,
14,Baby Flush,English,To remove pregnancy,
15,Fertility,English,To increase chances of giving birth,
16,Unmeet needs,English,Social and health conditions that support ability of women to limit births,
17,Pregnancy,English,To state of being pregnant,
18,Pregnant,English,To be pregnant,
19,Contraceptive prevalence,English,Rate of use of contraceptives,
20,Abstinence,English,To abstain from sex,
21,Smash,Pidgin,To have Sexual intercourse,
22,Bone,Pidgin,To have Sexual intercourse,
23,Konji,Pidgin,To be sexually aroused,
24,Yansh,Pidgin,A woman's butt,
25,Straff,Pidgin,To have sex with a lady,
26,Mekwe,Pidgin,To have sex with a lady,
27,Polash,Pidgin,To have sex with a lady,
28,Kpansh,Pidgin,To have sex with a lady,
29,Frap,Pidgin,To have sex,
30,Bonk,Pidgin,To have sex,
31,Hammer,Pidgin,To have sex,
32,Terminate belle,Pidgin,To abort pregnancy,
33,Breast feeding,English,To breast fed a new born,
34,Gum,Pidgin,To give oral sex,
35,Doko,Yoruba,To have sex,
36,Dobo,Yoruba,To have sex,
37,Mo la,Yoruba,I had sex,
38,Mo ti edge,Yoruba,To be sexually aroused,
39,Anilingus,English,Orally stimulating your partner's anus.,
40,Blow Job,English,Oral sex,
41,For the stab,English,Gay slang for sex,
42,Jerjer,Cebuano,To have sex,
43,Come/Cum,English,Slang term for semen or ejaculate,
44,Dyke,English, Lesbian,
45,Fuck,English,To have sex,
46,Hand Job,English,Stimulates a man's penis using their hand.,
47,Hard-on,English,Erection,
48,Libido,English,Sex drive,
49,Clapping cheeks ,English,To have sex,Toyib
50,Boner,English,Erected penis,
51,Sext,English,To send sexy or romantic messages or engage in romantic chats,
52,Cum,English,To ejaculate,
53,Dick,English,Penis,
54,Clit,English,Vagina,
55,Dildo,English,A penis shaped sex toy,
56,Cassava,English,Penis,
